t                         x y
1.4014                    539 4.1985181067416516e-14
1.404                     540 4.141066483789662e-14
1.4065999999999999        541 4.0845950473531316e-14
1.4092                    542 4.029083692756956e-14
1.4118                    543 3.9745127925573335e-14
1.4143999999999999        544 3.9208631913677606e-14
1.417                     545 3.868116189847648e-14
1.4196                    546 3.8162535332037206e-14
1.4222                    547 3.7652573999931785e-14
1.4247999999999998        548 3.7151103851626574e-14
1.4274                    549 3.6657954965887446e-14
1.43                      550 3.6172961367830974e-14
1.4325999999999999        551 3.569596098520642e-14
1.4352                    552 3.522679549566699e-14
1.4378                    553 3.476531024593798e-14
1.4404                    554 3.431135416167577e-14
1.4429999999999998        555 3.3864779648992034e-14
1.4456                    556 3.3425442475941105e-14
1.4482                    557 3.299320173186704e-14
1.4507999999999999        558 3.2567919694863884e-14
1.4534                    559 3.214946179354274e-14
1.456                     560 3.1737696481512944e-14
1.4586                    561 3.1332495179259486e-14
1.4611999999999998        562 3.093373220466201e-14
1.4638                    563 3.054128468545074e-14
1.4664                    564 3.015503249595041e-14
1.4689999999999999        565 2.9774858166261736e-14
1.4716                    566 2.940064686411703e-14
1.4742                    567 2.903228624433981e-14
1.4768                    568 2.8669666499033405e-14
1.4793999999999998        569 2.8312680177261837e-14
1.482                     570 2.7961222207903956e-14
1.4846                    571 2.7615189802218417e-14
1.4871999999999999        572 2.7274482405820097e-14
1.4898                    573 2.6939001655111025e-14
1.4924                    574 2.660865128064676e-14
1.4949999999999999        575 2.6283337121188095e-14
1.4975999999999998        576 2.5962967018583874e-14
1.5002                    577 2.5647450781370275e-14
1.5028                    578 2.5336700169085803e-14
1.5053999999999998        579 2.5030628769270235e-14
1.508                     580 2.472915203678833e-14
1.5106                    581 2.4432187214544033e-14
1.5131999999999999        582 2.413965326120636e-14
1.5158                    583 2.3851470861400838e-14
1.5184                    584 2.35675623359868e-14
1.521                     585 2.328785166265886e-14
1.5235999999999998        586 2.3012264360089136e-14
1.5262                    587 2.2740727513705727e-14
1.5288                    588 2.2473169708573758e-14
1.5313999999999999        589 2.2209521003153868e-14
1.534                     590 2.194971290016718e-14
1.5366                    591 2.1693678288511138e-14
1.5392                    592 2.144135143746788e-14
1.5417999999999998        593 2.119266795673886e-14
1.5444                    594 2.0947564754849352e-14
1.547                     595 2.0705980019037955e-14
1.5495999999999999        596 2.0467853197385972e-14
1.5522                    597 2.0233124925962007e-14
1.5548                    598 2.0001737068550375e-14
1.5574                    599 1.9773632618772078e-14
1.5599999999999998        600 1.95487557147465e-14
1.5626                    601 1.932705162024997e-14
1.5652                    602 1.9108466680407164e-14
1.5677999999999999        603 1.8892948267285346e-14
1.5704                    604 1.8680444829829766e-14
1.573                     605 1.8470905817943973e-14
1.5756                    606 1.8264281662544914e-14
1.5781999999999998        607 1.8060523771450466e-14
1.5808                    608 1.7859584493263833e-14
1.5834                    609 1.7661417110090378e-14
1.5859999999999999        610 1.7465975794142117e-14
1.5886                    611 1.7273215619815836e-14
1.5912                    612 1.7083092503942897e-14
1.5937999999999999        613 1.6895563238229465e-14
1.5963999999999998        614 1.6710585423080266e-14
1.599                     615 1.652811745930392e-14
1.6016                    616 1.6348118563660238e-14
1.6041999999999998        617 1.6170548703680482e-14
1.6068                    618 1.5995368629836198e-14
1.6094                    619 1.5822539813483497e-14
1.6119999999999999        620 1.5652024454459072e-14
1.6146                    621 1.5483785460905004e-14
1.6172                    622 1.53177864432446e-14
1.6198                    623 1.5153991690172407e-14
1.6223999999999998        624 1.4992366148883035e-14
1.625                     625 1.483287541248909e-14
1.6276                    626 1.4675485729958573e-14
1.6301999999999999        627 1.452016395834202e-14
1.6328                    628 1.4366877559135456e-14
1.6354                    629 1.421559460983319e-14
1.638                     630 1.406628376047414e-14
1.6405999999999998        631 1.3918914240279458e-14
1.6432                    632 1.3773455831859609e-14
1.6458                    633 1.3629878865312102e-14
1.6483999999999999        634 1.3488154220402039e-14
1.651                     635 1.3348253286062838e-14
1.6536                    636 1.3210147997401707e-14
1.6562                    637 1.307381074310172e-14
1.6587999999999998        638 1.2939214449656815e-14
1.6614                    639 1.2806332523669724e-14
1.664                     640 1.2675138823408743e-14
1.6665999999999999        641 1.254560768534152e-14
1.6692                    642 1.2417713918071294e-14
1.6718                    643 1.2291432731177701e-14
1.6743999999999999        644 1.2166739818834048e-14
1.6769999999999998        645 1.2043611281194174e-14
1.6796                    646 1.1922023634930824e-14
1.6822                    647 1.1801953812054842e-14
1.6847999999999999        648 1.1683379160511421e-14
1.6874                    649 1.156627739052141e-14
1.69                      650 1.1450626636562091e-14
1.6925999999999999        651 1.1336405390836826e-14
1.6951999999999998        652 1.1223592521428978e-14
1.6978                    653 1.111216725784265e-14
1.7004                    654 1.100210918962113e-14
1.7029999999999998        655 1.089339826762809e-14
1.7056                    656 1.078601476460212e-14
1.7082                    657 1.0679939303333625e-14
1.7107999999999999        658 1.0575152837286468e-14
1.7133999999999998        659 1.0471636634087723e-14
1.716                     660 1.03693722867708e-14
1.7186                    661 1.0268341698844602e-14
1.7211999999999998        662 1.0168527077178105e-14
1.7238                    663 1.0069910927433514e-14
1.7264                    664 9.972476047677235e-15
1.7289999999999999        665 9.876205528690478e-15
1.7316                    666 9.78108274040809e-15
1.7342                    667 9.687091330068038e-15
1.7368                    668 9.594215209216284e-15
1.7393999999999998        669 9.502438562505018e-15
1.742                     670 9.411745852447394e-15
1.7446                    671 9.32212177104008e-15
1.7471999999999999        672 9.233551268523645e-15
1.7498                    673 9.146019550706961e-15
1.7524                    674 9.059512067771781e-15
1.755                     675 8.974014489515332e-15
1.7575999999999998        676 8.889512742858631e-15
1.7602                    677 8.805992959884764e-15
1.7628                    678 8.723441514236794e-15
1.7653999999999999        679 8.641845006978026e-15
1.768                     680 8.561190225607891e-15
1.7706                    681 8.481464198405269e-15
1.7731999999999999        682 8.402654143224844e-15
1.7757999999999998        683 8.32474750831147e-15
1.7784                    684 8.247731908582995e-15
1.781                     685 8.171595167590981e-15
1.7835999999999999        686 8.096325353156317e-15
1.7862                    687 8.021910631416663e-15
1.7888                    688 7.94833941696625e-15
1.7913999999999999        689 7.875600302171678e-15
1.7939999999999998        690 7.803682041583033e-15
1.7966                    691 7.732573580215773e-15
1.7992                    692 7.66226402965821e-15
1.8017999999999998        693 7.592742678301058e-15
1.8044                    694 7.52399896809693e-15
1.807                     695 7.456022528845297e-15
1.8095999999999999        696 7.388803132232036e-15
1.8121999999999998        697 7.322330715411785e-15
1.8148                    698 7.256595366827004e-15
1.8174                    699 7.191587326469923e-15
1.8199999999999998        700 7.127297025970914e-15
1.8226                    701 7.06371497523261e-15
1.8252                    702 7.0008318667357664e-15
1.8277999999999999        703 6.938638536758985e-15
1.8304                    704 6.877125954223875e-15
1.833                     705 6.816285240575634e-15
1.8356                    706 6.7561076192071535e-15
1.8381999999999998        707 6.696584476207901e-15
1.8408                    708 6.637707328840897e-15
1.8434                    709 6.579467809351562e-15
1.8459999999999999        710 6.521857666497177e-15
1.8486                    711 6.464868804988737e-15
1.8512                    712 6.408493222565489e-15
1.8538                    713 6.352723045434565e-15
1.8563999999999998        714 6.297550525185565e-15
1.859                     715 6.242968018725566e-15
1.8616                    716 6.188967999330029e-15
1.8641999999999999        717 6.135543058881047e-15
1.8668                    718 6.0826858947455294e-15
1.8694                    719 6.030389307727942e-15
1.8719999999999999        720 5.978646204106837e-15
1.8745999999999998        721 5.927449602153148e-15
1.8772                    722 5.876792624317294e-15
1.8798                    723 5.826668480575626e-15
1.8823999999999999        724 5.777070500080925e-15
1.885                     725 5.7279920811327875e-15
1.8876                    726 5.679426747413588e-15
1.8901999999999999        727 5.631368105958156e-15
1.8927999999999998        728 5.583809845317865e-15
1.8954                    729 5.536745759310576e-15
1.898                     730 5.4901697318089826e-15
1.9005999999999998        731 5.4440757234556406e-15
1.9032                    732 5.398457792397911e-15
1.9058                    733 5.3533100752085585e-15
1.9083999999999999        734 5.3086267955650976e-15
1.9109999999999998        735 5.264402264730896e-15
1.9136                    736 5.220630865595946e-15
1.9162                    737 5.177307060463877e-15
1.9187999999999998        738 5.134425399203107e-15
1.9214                    739 5.091980499945783e-15
1.924                     740 5.049967051940682e-15
1.9265999999999999        741 5.008379796874898e-15
1.9291999999999998        742 4.9672135236630826e-15
1.9318                    743 4.926463008823521e-15
1.9344                    744 4.886122894796408e-15
1.9369999999999998        745 4.846187480130335e-15
1.9396                    746 4.806650141329584e-15
1.9422                    747 4.7675021975437166e-15
1.9447999999999999        748 4.728730376916415e-15
1.9474                    749 4.690311571986686e-15
1.95                      750 4.652201772662609e-15
1.9526                    751 4.614313433248068e-15
1.9551999999999998        752 4.5764695400581975e-15
1.9578                    753 4.538311967778318e-15
1.9604                    754 4.499121047529476e-15
1.9629999999999999        755 4.457465582987882e-15
